dage,nye smittede
0,564
1,587
2,789
3,767
4,700
5,753
6,591
7,752
8,756
9,1127
10,1247
11,1270
12,1262
13,1349
14,1411
15,1253
16,1871
17,1847
18,1784
19,1671
20,1532
21,1457
22,1981
23,1978
24,2598
25,2251
26,2097
27,2416
28,2294
29,2562
30,3017
31,2132
32,4585
33,2948
34,3223
35,3670
36,3899
37,3907
38,4013
